run_id,dataset,model,architecture,protocol_version,keep_ratio,block_size,child_refresh_steps,score_refresh_steps,v6_selection_mode,v6_gradient_retention,v6_selection_method,v6_early_bird,v6_stability_window,v6_stability_threshold,seed,best_epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_s,is_best_val_loss,best_epoch_so_far,epochs_without_improvement,forward_time_s,epochs_completed,total_training_time_s,mean_epoch_time_s,mean_forward_ms,mean_backward_ms,mean_memory_mb,child_refresh_events,gradient_scoring_events,dense_scoring_time_s,selector_scoring_time_s,child_rebuild_time_s,topology_frozen,topology_freeze_step,mask_distance_mean,effective_keep_ratio_mean,effective_keep_ratio_min,effective_keep_ratio_max
59f9ccdace96524b,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,25,fixed,,weight_l2,True,5,0.1,1,8,0.0360386972188949,0.9888166666666668,0.0460811493805144,0.9848,9.323984082991956,1,8,0,,10,93.8371237909887,9.38371237909887,0.6908454050345199,1.375102510066109,521.3777318763326,6,6,0.0,0.0042111240036317,0.056328539998503194,1,125,0.0,0.1990131578947368,0.1990131578947368,0.1990131578947368
63229ac4e724ef16,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,25,fixed,,weight_l2,True,5,0.1,2,10,0.0282267577283084,0.9908666666666668,0.035936377032753,0.988,9.333862667001084,1,10,0,,10,93.68447570801072,9.368447570801072,0.6845374430273856,1.3749621951410216,521.5745902185502,6,6,0.0,0.0039963329909365,0.0565175410010849,1,125,0.0,0.1990131578947368,0.1990131578947368,0.1990131578947368
3337d15fbe739c45,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,25,fixed,,weight_l2,True,5,0.1,3,9,0.0285495984007914,0.9913,0.0415936956587713,0.9862,9.418651874992063,1,9,0,,10,94.32360108496505,9.432360108496505,0.6991924616561802,1.3363499236673653,522.3028184968017,6,6,0.0,0.0043521680054252,0.0588588740065458,1,125,0.00017715890267775618,0.1990131578947368,0.1990131578947368,0.1990131578947368
c5bcd9f5b73bd25d,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,25,fixed,,weight_l2,True,5,0.1,4,10,0.0252022550653666,0.9918,0.0363998697608709,0.988,9.334135249999235,1,10,0,,10,94.05464470900188,9.405464470900188,0.6892774554274561,1.3855381878490785,520.412030250533,6,6,0.0,0.0043579149933064,0.060909126972546496,1,125,0.0,0.1990131578947368,0.1990131578947368,0.1990131578947368
77758d958bc75723,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,25,fixed,,weight_l2,True,5,0.1,5,8,0.0361065583487351,0.9887666666666668,0.0446327844783663,0.9847,9.356978249998065,1,8,0,,10,93.86485800099035,9.386485800099035,0.6926763980771281,1.382483141849821,521.8836886993604,6,6,0.0,0.0039595419948452,0.0556681249872778,1,125,0.0,0.1990131578947368,0.1990131578947368,0.1990131578947368
0aa8600f055dd7ef,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,100,fixed,,taylor,True,5,0.1,1,8,0.0379556953633824,0.9879666666666668,0.0459014306010445,0.9848,9.315103542001452,1,8,0,,10,93.94698854298622,9.394698854298621,0.6829122502318042,1.381832434620007,528.7419143123667,23,23,0.1504779979877627,0.1732309160142892,0.2123582490312388,1,2200,0.15986964115306357,0.1990131578947368,0.1990131578947368,0.1990131578947368
0b8b72261125eb82,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,100,fixed,,taylor,True,5,0.1,2,10,0.0360824143707752,0.9884166666666668,0.0498798689110961,0.9852,9.408396708997316,1,10,0,,10,94.83355824898172,9.483355824898172,0.7105494088557068,1.383396849377594,532.6401119402985,44,44,0.2473806650086749,0.2880922499607526,0.403264375971046,1,4300,0.17913538234393847,0.1990131578947368,0.1990131578947368,0.1990131578947368
326f7d1e60c9c1c4,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,100,fixed,,taylor,True,5,0.1,3,9,0.0350243483195702,0.9885333333333334,0.0451121216372586,0.9854,9.353220499993768,1,9,0,,10,94.7799964989972,9.47799964989972,0.7059372060170683,1.3810835126544911,530.2819596215352,29,29,0.1790164599515254,0.2074928770598477,0.2696106660150676,1,2800,0.16149012405696897,0.1990131578947368,0.1990131578947368,0.1990131578947368
b616b2fd51f32521,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,100,fixed,,taylor,True,5,0.1,4,10,0.031138134307911,0.9903333333333332,0.0365769342403393,0.9874,9.469436125000357,1,10,0,,10,95.15840629403829,9.51584062940383,0.6820754319678854,1.3827981850992423,532.5706356609808,47,47,0.2635810020583428,0.3043989190336992,0.4285977109830104,0,0,0.19096490754244763,0.1990131578947368,0.1990131578947368,0.1990131578947368
07b50fcc8f91cbfc,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,100,fixed,,taylor,True,5,0.1,5,7,0.0496577425350745,0.98425,0.047906516883336,0.9838,9.43763233399659,1,7,0,,10,94.64843991897942,9.464843991897942,0.7019448220847981,1.3734415862372442,532.0561200692964,37,37,0.215499956990241,0.2495533350302119,0.3419920039450501,1,3600,0.14879634130971026,0.1990131578947368,0.1990131578947368,0.1990131578947368
233eebc8b3aaa1bc,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,100,fixed,,weight_l2,True,5,0.1,1,8,0.0360386972188949,0.9888166666666668,0.0460811493805144,0.9848,9.385945000001811,1,8,0,,10,94.26982191498973,9.426982191498974,0.6872610150949344,1.3835691287262943,521.1827358742004,6,6,0.0,0.0042732499859991,0.0594141659821614,1,500,0.0,0.1990131578947368,0.1990131578947368,0.1990131578947368
66988a983a9c0308,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,100,fixed,,weight_l2,True,5,0.1,2,10,0.0282267577283084,0.9908666666666668,0.035936377032753,0.988,9.393393666003249,1,10,0,,10,94.33321578899631,9.433321578899632,0.6883575648560609,1.3861914774822461,520.1432969083156,6,6,0.0,0.004566624993458,0.0595772910019148,1,500,0.0,0.1990131578947368,0.1990131578947368,0.1990131578947368
a723ddf3297a576b,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,100,fixed,,weight_l2,True,5,0.1,3,10,0.0251929814370969,0.9919333333333332,0.0425390073451213,0.9868,9.523052042000929,1,10,0,,10,94.3682575429848,9.436825754298479,0.684625192913043,1.3788631430354723,520.352508662047,6,6,0.0,0.0041404580115337,0.0598735420062438,1,500,0.0,0.1990131578947368,0.1990131578947368,0.1990131578947368
94b6f700a499d040,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,100,fixed,,weight_l2,True,5,0.1,4,10,0.0252022550653666,0.9918,0.0363998697608709,0.988,9.371401249998598,1,10,0,,10,93.91516399897228,9.391516399897228,0.6876125737351773,1.368553944300366,518.5164578891258,6,6,0.0,0.0043717929947885,0.0594019589916567,1,500,0.0,0.1990131578947368,0.1990131578947368,0.1990131578947368
c31d3b23f11f515a,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,100,fixed,,weight_l2,True,5,0.1,5,8,0.0361065583487351,0.9887666666666668,0.0446327844783663,0.9847,9.37702287499269,1,8,0,,10,93.92949979098921,9.39294997909892,0.7019587614916075,1.3879270711813916,520.8310367803838,6,6,0.0,0.0039710000128249,0.0565362899942554,1,500,0.0,0.1990131578947368,0.1990131578947368,0.1990131578947368
