dataset,model,architecture,protocol_version,keep_ratio,block_size,runs,val_accuracy_mean,val_accuracy_std,train_accuracy_mean,train_accuracy_std,forward_ms_mean,forward_ms_std,backward_ms_mean,backward_ms_std,memory_mb_mean,memory_mb_std,epoch_time_mean,epoch_time_std
cifar10,ssb-v1-block,mlp,protocol-v3,0.8,128,5,0.4605,0.009337558567420058,0.45928399999999997,0.0023085666548748347,1.4973390579083394,0.0022294714337556423,6.535034905573207,0.019904670882056368,742.9085517902813,2.779332282152946,7.891073575208429,0.024778667007161866
cifar10,ssb-v1-block,mlp,protocol-v3,1.0,8,5,0.49932,0.010879430132134651,0.517072,0.0020538062226023632,1.4935526047365915,0.004492389535257695,7.4584878656976175,0.0176906265410258,719.5004315856778,1.940442360202027,8.269938191806432,0.010452938322808587
cifar10,ssb-v1-block,mlp,protocol-v3,1.0,16,5,0.49932,0.010879430132134651,0.517072,0.0020538062226023632,1.4951445202093367,0.003104281929579705,7.4667680009469395,0.015374269278494307,720.3685448635977,1.1102892085935527,8.265560300205834,0.006678457666424471
cifar10,ssb-v1-block,mlp,protocol-v3,1.0,32,5,0.49932,0.010879430132134651,0.517072,0.0020538062226023632,1.494581379549717,0.002997049967551756,7.4624408954295065,0.011151394734910855,720.379917945439,1.1051929607855562,8.294937866588588,0.035993261401176035
cifar10,ssb-v1-block,mlp,protocol-v3,1.0,64,5,0.49932,0.010879430132134651,0.517072,0.0020538062226023632,1.4940517657187424,0.0036743230766183798,7.461922183104417,0.01543191483100499,721.1548353580563,1.4695541660644562,8.275837316794787,0.016977827717814253
cifar10,ssb-v1-block,mlp,protocol-v3,1.0,128,5,0.49932,0.010879430132134663,0.517072,0.0020538062226023125,1.496740750422951,0.002555246455091464,7.474063405189821,0.008637630453685971,719.7016650682011,1.1900284058036759,8.288391166785733,0.007465675722413224
cifar10,ssb-v2,cnn,protocol-v3,0.2,0,5,0.2141,0.08652025774349034,0.223244,0.06289817866997423,5.9216076356119345,0.010292679464814006,14.554802598902082,0.03662288000209092,905.5109867860189,1.4538911800927161,11.615981675195508,0.06839208266339952
cifar10,ssb-v2,cnn,protocol-v3,0.4,0,5,0.51688,0.031766995451254124,0.51062,0.023222110153902888,5.916722430664924,0.00546531301221044,15.308523899031943,0.05579709725629713,938.9354965899404,5.8632284267696635,11.888872008398176,0.009503264724644545
cifar10,ssb-v2,cnn,protocol-v3,0.6,0,5,0.6795199999999999,0.016164065082769245,0.670884,0.023269518258872485,5.889316907931365,0.02320116412055678,15.82059061927049,0.03185904371569605,936.5066815856777,4.42445905471535,12.074661416793242,0.06766015086003845
cifar10,ssb-v2,cnn,protocol-v3,0.8,0,5,0.72912,0.014327142073700503,0.743172,0.007473133211712484,5.883629245829193,0.026799812562511603,16.27339354122945,0.0497954464545878,904.8680786445013,5.4112998022224605,12.26658473360585,0.08047427771313836
