run_id,dataset,model,architecture,protocol_version,keep_ratio,block_size,child_refresh_steps,seed,epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_s,forward_time_s,mean_forward_ms,mean_backward_ms,mean_memory_mb
236035c2c02096a8,cifar10,ssb-v4,mlp,protocol-v4,0.4,0,100,3,3,1.613640646133423,0.42886,5.263766609191895,0.461,4.122421417036094,,0.7666301206829615,0.8901492135264496,723.447530370844
2290bf485cd02390,cifar10,ssb-v4,mlp,protocol-v4,0.4,0,100,2,3,1.6027895987701417,0.43018,5.022432387542724,0.4547,4.128680207999423,,0.7582839534919981,0.8906174163001689,720.7828484654732
59e72b9f53495087,cifar10,ssb-v4,mlp,protocol-v4,0.2,0,100,1,3,1.6869959384918214,0.40002,8.357418435668945,0.4246,3.352338084019721,,0.6245997442485453,0.6733114222474588,720.0588235294117
cabaeaee15169662,cifar10,ssb-v4,mlp,protocol-v4,0.2,0,100,3,3,1.6825086322021483,0.4008,8.75791563720703,0.411,3.3497650420176797,,0.563880287742753,0.6476578244919893,719.4733722293265
7259f699341374df,cifar10,ssb-v4,mlp,protocol-v4,0.2,0,100,2,3,1.6708416876220704,0.40818,8.93658754119873,0.4178,3.32883029198274,,0.5679262437474492,0.6502228478391638,720.3408328005115
5d65050d7fec0da5,cifar10,ssb-v4,mlp,protocol-v4,0.8,0,100,1,3,1.493874326133728,0.46914,1.7468275382995606,0.4534,5.7275811660219915,,1.3233865463378425,1.5423500335072955,719.1720748081841
8724ce417ba3238f,cifar10,ssb-v4,mlp,protocol-v4,0.8,0,100,3,3,1.5156882166290284,0.46572,1.8649598110198975,0.4533,5.7515313340118155,,1.1661475025496415,1.2958137278693866,721.7511189258312
004b4e08346106cc,cifar10,ssb-v4,mlp,protocol-v4,0.8,0,100,2,3,1.4985878558731078,0.47094,1.6740418018341063,0.4755,5.746388333034702,,1.1713006000731911,1.2936991492948,719.4100996376811
ac93f23a963fd4c5,cifar10,ssb-v4,mlp,protocol-v4,0.6,0,100,1,3,1.5549249675750731,0.44928,2.651469319152832,0.4576,4.872985582973342,,1.1292309962761955,1.2316058230751001,719.2715260017051
70dd8b7e59fb53aa,cifar10,ssb-v4,mlp,protocol-v4,0.6,0,100,3,3,1.5650875787734986,0.4469,2.406906951904297,0.4735,4.914890041982289,,0.986659106925851,1.07296725304535,722.6393195865303
79ebbd2feaf73e7c,cifar10,ssb-v4,mlp,protocol-v4,0.6,0,100,2,3,1.5515646087646484,0.45144,2.302541943359375,0.4785,4.8794345000060275,,0.9756615679279468,1.0690392497295245,718.041893115942
665247612db66933,cifar10,ssb-v4,cnn,protocol-v4,0.4,0,100,1,3,1.4447758657073977,0.47454,58.529282794189456,0.3921,5.8134060419979505,,2.421416217754549,5.676440635671391,745.8172554347826
e0a7f607e34ab0fb,cifar10,ssb-v4,cnn,protocol-v4,0.4,0,100,3,3,1.4124029552459716,0.48502,55.78006596069336,0.4178,5.810914375004359,,2.368285414933052,5.415298241932523,746.3923699914749
d461266eed7d60fb,cifar100,dense,cnn,protocol-v4,1.0,0,0,2,3,2.0803110469055177,0.4439,2.219600745391846,0.4243,10.987764958990738,,5.830537649772643,12.651059030563477,606.4905956947997
f658b3f9b2a5cc3b,cifar10,ssb-v4,cnn,protocol-v4,0.4,0,100,2,3,1.4225074814224243,0.48498,49.95771019897461,0.4251,5.794071000011172,,2.3885122413023225,5.449104162019557,746.9435075660699
bd5ff737bb7d70cf,cifar10,ssb-v4,cnn,protocol-v4,0.2,0,100,3,3,1.800019213180542,0.33056,77.80636950683594,0.3312,4.281725084001664,,1.3370166221261488,2.977488022220161,744.3131527067349
345f6d75e89fd67d,cifar10,ssb-v4,cnn,protocol-v4,0.2,0,100,2,3,1.8387346936798097,0.3174,77.7764232055664,0.3311,4.279531083011534,,1.3248822479611533,2.9772547619910674,746.0853047740835
fcab74990e36efc2,cifar10,ssb-v4,cnn,protocol-v4,0.8,0,100,1,3,0.8584887157058716,0.70132,1.9992527936935425,0.6458,10.249079125002028,,5.173897723614077,12.382558258403146,745.8274722932651
7b305d91ae121ab3,cifar10,ssb-v4,cnn,protocol-v4,0.8,0,100,3,3,0.8521608963012696,0.70108,1.558701693725586,0.684,10.329014416027348,,4.949629118920866,11.985461617681368,745.1439551364024
bfc375414c7f9d55,cifar10,ssb-v4,cnn,protocol-v4,0.8,0,100,2,3,0.8674835480117797,0.69742,1.3705867263793945,0.6925,10.201608000032138,,4.930461312511939,11.9461377486463,745.9388720161978
c8c2972221de08de,cifar10,ssb-v4,cnn,protocol-v4,0.6,0,100,1,3,1.093497510967255,0.61076,7.530162312316895,0.5808,8.186148000007961,,3.6483015809013133,9.603165924989309,745.3559649403239
74fab37528a6e2b8,cifar10,ssb-v4,cnn,protocol-v4,0.6,0,100,3,3,1.1136912060165405,0.60386,7.686429258728027,0.5615,8.027331290999427,,3.401519323531202,8.947138131533773,745.85555200341
5ce48cb1c43ef750,cifar10,ssb-v4,cnn,protocol-v4,0.6,0,100,2,3,1.11305391954422,0.60978,9.998198135375976,0.4908,7.991836667002644,,3.439916592255624,9.051731446712607,745.1611519607843
69210c568c04c49c,cifar10,dense,mlp,protocol-v4,1.0,0,0,1,3,1.3677741116714477,0.51508,1.454895576095581,0.4853,5.908622583025135,,1.3768626282702494,1.577907320930121,706.206468456948
b77a895c46b2935b,cifar10,dense,mlp,protocol-v4,1.0,0,0,3,3,1.3736958587265016,0.516,1.4604145893096925,0.4902,5.916262666985858,,1.374484019894627,1.5726794784182292,705.3494645140665
9eab9381ed5cf5dd,cifar10,dense,mlp,protocol-v4,1.0,0,0,2,3,1.3621380367660525,0.51916,1.4092545501708984,0.5081,5.927477292018011,,1.3845860488170014,1.5711190059597164,706.11319799659
a765c2d2e0703ad9,cifar10,dense,cnn,protocol-v4,1.0,0,0,1,3,0.6034034909629822,0.78972,0.7664884341716767,0.7457,10.934081915998831,,5.811115723801529,12.489844384628562,725.4648737212276
bb4ac624e8134095,cifar10,dense,cnn,protocol-v4,1.0,0,0,3,3,0.6616552896213531,0.76832,0.7826665292739868,0.7325,11.030286166002044,,5.825637463295191,12.499968950733502,724.5295316496164
216a2a1ea854e73d,cifar10,dense,cnn,protocol-v4,1.0,0,0,2,3,0.6438682579803466,0.7734,0.7432902090072632,0.7492,10.879947041976266,,5.817980009396268,12.473768258230269,723.8771312872975
a45f1332bdb8557f,cifar10,ssb-v4,cnn,protocol-v4,0.2,0,100,1,3,1.8331944891738892,0.31976,78.40580445556641,0.3052,4.294184708967805,,1.3921027277113065,3.2354386904270847,746.6520407075874
9babb1f07f43bfe5,mnist,ssb-v4,cnn,protocol-v4,0.6,0,100,2,3,0.0748434270501136,0.9764333333333334,0.1623522449897609,0.9779,3.840743625012692,,1.2970815451835749,2.55657968134664,496.0686522743426
7aba4838aff841f2,cifar100,dense,cnn,protocol-v4,1.0,0,0,3,3,2.1202922730255125,0.43568,2.2543022285461425,0.4213,10.975137165980414,,5.813596829962896,12.646379255358548,607.8543664748508
b20bead5a369ae16,cifar100,dense,mlp,protocol-v4,1.0,0,0,2,3,3.3135422490692137,0.20604,3.4528394073486326,0.1921,11.099824957957026,,2.629823494426226,3.424371526553107,668.5813219309463
0b56630e1d3570fa,mnist,dense,mlp,protocol-v4,1.0,0,0,3,3,0.064563121976455,0.9799666666666668,0.0707245594032108,0.9781,2.1510280419606715,,0.3880947046729345,0.5252910389874877,463.91135838663826
05c2fb7e4cbec7cd,mnist,dense,mlp,protocol-v4,1.0,0,0,2,3,0.0668817776640256,0.9791166666666666,0.0759583457633853,0.9755,2.1598436249769293,,0.3847117435984873,0.5184956586736545,460.3252709665956
f8a3d0c31528976d,mnist,dense,cnn,protocol-v4,1.0,0,0,1,3,0.0292874981430669,0.9905,0.0295781590826343,0.9895,4.6139294159947895,,1.7308407078308614,3.4018380074465435,446.6109630419332
07921b214ceb2908,mnist,dense,cnn,protocol-v4,1.0,0,0,3,3,0.0284839068541924,0.99105,0.029036390500795,0.9899,4.676504999981262,,1.7659264325339818,3.346386517130925,480.63331778606965
2fe67c48af876922,mnist,dense,cnn,protocol-v4,1.0,0,0,2,3,0.0279846973817795,0.9914333333333334,0.0232962382907047,0.993,4.63732495799195,,1.759392948096003,3.3279361467915223,480.8486695984364
4e73bfd629d729c2,cifar100,ssb-v4,mlp,protocol-v4,0.4,0,100,1,3,3.663649921798706,0.142,12.262655673217774,0.165,6.363179125008173,,1.1955267564732108,1.3368112264452228,684.6335118286445
445712f173c0b268,cifar100,ssb-v4,mlp,protocol-v4,0.4,0,100,3,3,3.664752378387451,0.14224,12.68117435913086,0.1709,6.3781217080540955,,1.1895955150699555,1.3380149783897979,683.2389572676897
7efc196ab32169f4,cifar100,ssb-v4,mlp,protocol-v4,0.4,0,100,2,3,3.6724609846496583,0.13918,12.065711790466308,0.1648,6.3620237080031075,,1.1938882618308368,1.3355521200572018,682.9615968670076
5f3def38135e815b,cifar100,ssb-v4,mlp,protocol-v4,0.2,0,100,1,3,3.823322395782471,0.11554,23.090568893432614,0.1289,4.44021408300614,,0.8033281425906845,0.887338830200145,681.7862052429667
23e2647806887a9a,cifar100,ssb-v4,mlp,protocol-v4,0.2,0,100,3,3,3.810666965789795,0.11856,21.783172692871094,0.1346,4.447755499975756,,0.7981635495751455,0.8871611195813625,681.9759297740835
d03985c27ef956c1,cifar100,ssb-v4,mlp,protocol-v4,0.2,0,100,2,3,3.816902360076904,0.11702,22.42109122924805,0.1325,4.4524654999841005,,0.8000742338592516,0.884365538269698,682.0079790068202
fb5bf1c5cf3e999e,cifar100,ssb-v4,mlp,protocol-v4,0.8,0,100,1,3,3.542449111480713,0.16622,3.747257960510254,0.1743,11.477527708979324,,2.486514781390482,2.988022224217737,683.32484814578
a5a385bbb95ee239,cifar100,ssb-v4,mlp,protocol-v4,0.8,0,100,3,3,3.561676699295044,0.1625,3.962158120727539,0.1631,11.490196915983688,,2.2957746368433027,2.7487288989489027,684.2447250639386
fb61f17a02b0dc72,cifar100,ssb-v4,mlp,protocol-v4,0.8,0,100,2,3,3.5347454615783693,0.16616,3.881239414215088,0.1739,11.45144433301175,,2.2975626219585923,2.745657348268886,681.30069799659
c965cab36ee0f12c,cifar100,dense,cnn,protocol-v4,1.0,0,0,1,3,2.1036584674453733,0.4391,2.2266018383026123,0.4178,10.985051084018778,,5.842594045173814,12.66306024832759,607.7100383631714
0ae95b158d49ba1b,cifar100,ssb-v4,mlp,protocol-v4,0.6,0,100,1,3,3.5978999486541747,0.15422,5.547789470672607,0.1755,8.819197917007841,,1.792480203839889,2.354661921721588,685.2061354433077
54412bc82074e2b6,cifar100,ssb-v4,mlp,protocol-v4,0.6,0,100,2,3,3.5906991621398925,0.15672,5.364161189270019,0.1766,8.838072666956577,,1.615137460154017,2.076996665627338,683.3262334825234
719c135b3aafc97a,cifar100,ssb-v4,cnn,protocol-v4,0.4,0,100,1,3,3.6928601612091065,0.128,76.36413635253906,0.1374,5.725909999979194,,2.3640747606247245,5.21860884212529,631.1103074381926
56f0116d3f909eed,cifar100,ssb-v4,cnn,protocol-v4,0.4,0,100,3,3,3.726575002365113,0.12366,72.95212290039062,0.1369,5.705109375005122,,2.388377075223638,5.272135833827673,630.3264066496164
9673678b8a532bd9,cifar100,ssb-v4,cnn,protocol-v4,0.4,0,100,2,3,3.76800495803833,0.11506,82.920306640625,0.1324,5.7307042079628445,,2.3716642471797615,5.236472779313627,627.8406196717817
1c56d3c027eb3de6,cifar100,ssb-v4,cnn,protocol-v4,0.2,0,100,3,3,4.171282671661377,0.05566,133.66319416503907,0.0589,4.296294416999444,,1.3367855256539583,2.9887258817436497,628.6693440963342
92d40193864c8f95,cifar100,ssb-v4,cnn,protocol-v4,0.2,0,100,2,3,4.170160278015136,0.05312,159.38682114257813,0.0604,4.31830716697732,,1.3429327652164298,3.0147699256211133,629.3332933716965
d4db5c4a697f4c43,cifar100,ssb-v4,cnn,protocol-v4,0.8,0,100,1,3,2.781708995285034,0.29812,4.530985597229004,0.2965,10.317322749993764,,4.953461822599858,11.881538775309995,630.1828777706735
08ed43224ed5e648,cifar100,ssb-v4,cnn,protocol-v4,0.8,0,100,3,3,2.7356782396697996,0.30662,5.2869159210205074,0.3013,10.255479124956764,,4.926005506690286,11.877952142061183,626.8913176683717
cde820e238ae168a,cifar100,ssb-v4,cnn,protocol-v4,0.8,0,100,2,3,2.7487566371154784,0.30424,5.142882963562012,0.2641,10.264408792019822,,4.942795325406814,11.883896921732703,631.5652573529412
4021c1862f7379bf,cifar100,ssb-v4,cnn,protocol-v4,0.6,0,100,1,3,3.2356988941955565,0.20902,16.342285711669923,0.1984,8.015495209023356,,3.3857308136904547,8.969999606445548,627.2807438192668
9d1e402bf1578450,cifar100,ssb-v4,cnn,protocol-v4,0.6,0,100,3,3,3.239493166732788,0.20852,19.284420562744145,0.2234,8.001587124948855,,3.3861846986201627,8.946248714654052,628.9652733375959
7e84594f23ded687,cifar100,ssb-v4,cnn,protocol-v4,0.6,0,100,2,3,3.3129069775390625,0.19868,19.818592028808595,0.1802,8.016451375035103,,3.384772505538087,8.936391863694011,631.1907502131287
e969816d72ffcdc0,cifar100,dense,mlp,protocol-v4,1.0,0,0,1,3,3.320829968109131,0.20436,3.4036430374145508,0.2001,11.10113787499722,,2.6363846286674275,3.4326491345974888,671.5042892156863
a585df2090e2a091,cifar100,dense,mlp,protocol-v4,1.0,0,0,3,3,3.318712396316528,0.2025,3.457533528137207,0.1946,11.144808667013422,,2.6356070737122894,3.4216152090628,666.072596973572
e9640b8d9ed0f2f3,cifar100,ssb-v4,mlp,protocol-v4,0.6,0,100,3,3,3.5926304431152345,0.1529,5.482793267822266,0.1819,8.825164125009906,,1.6129965612958879,2.0829391741083776,683.0920050085251
2e1fb2fd1c864b13,mnist,ssb-v4,mlp,protocol-v4,0.4,0,100,1,3,0.3106062163352966,0.9113166666666668,0.903620535884425,0.9138,2.129468541999813,,0.3649070082025349,0.4860387061600946,471.5918288024165
